,Index,Antecedente,Consecuente,Support,Confidence,Lift
84,85,DNA.,HUMBLE.,0.019,0.8189655172413793,17.424798239178283
35,36,"('HUMBLE.', 'iSpy (feat. Lil Yachty)')",Congratulations,0.0109,0.7032258064516129,17.151848937844218
49,50,"('Mask Off', 'XO TOUR Llif3')",HUMBLE.,0.0131,0.8036809815950922,17.099595353087068
18,19,"('Congratulations', 'HUMBLE.')",goosebumps,0.0112,0.5233644859813085,16.99235344095157
58,59,Slippery (feat. Gucci Mane),goosebumps,0.0125,0.5186721991701245,16.840006466562485
62,63,Bank Account,XO TOUR Llif3,0.0128,0.5541125541125541,16.791289518562245
61,62,Butterfly Effect,XO TOUR Llif3,0.0107,0.5515463917525772,16.71352702280537
43,44,"('XO TOUR Llif3', 'goosebumps')",Congratulations,0.0104,0.6842105263157895,16.68806161745828
26,27,"('DNA.', 'HUMBLE.')",Mask Off,0.01,0.5263157894736842,16.65556295802798
98,99,Drowning (feat. Kodak Black),goosebumps,0.01,0.5128205128205129,16.650016650016653
60,61,Wet Dreamz,No Role Modelz,0.01,0.5181347150259067,16.606881891855984
82,83,Slippery (feat. Gucci Mane),XO TOUR Llif3,0.0132,0.5477178423236515,16.597510373443985
71,72,Slippery (feat. Gucci Mane),Mask Off,0.0126,0.5228215767634855,16.544986606439412
17,18,"('HUMBLE.', 'goosebumps')",Congratulations,0.0112,0.6706586826347305,16.357528844749524
103,104,Tunnel Vision,XO TOUR Llif3,0.0136,0.5396825396825397,16.354016354016352
33,34,"('Slippery (feat. Gucci Mane)', 'XO TOUR Llif3')",HUMBLE.,0.0101,0.7651515151515151,16.279819471308834
47,48,"('DNA.', 'HUMBLE.')",XO TOUR Llif3,0.0102,0.5368421052631579,16.267942583732058
27,28,"('Mask Off', 'XO TOUR Llif3')",Congratulations,0.0107,0.656441717791411,16.01077360466856
85,86,Love Yourself,Sorry,0.0117,0.527027027027027,15.970515970515969
100,101,Bounce Back,Bad and Boujee (feat. Lil Uzi Vert),0.0169,0.5633333333333334,15.958451369216244
6,7,"('Tunnel Vision', 'XO TOUR Llif3')",HUMBLE.,0.0102,0.7500000000000001,15.95744680851064
93,94,Tunnel Vision,Mask Off,0.0127,0.503968253968254,15.948362467349806
66,67,Swang,Mask Off,0.0112,0.5022421524663677,15.893739002100244
23,24,"('Congratulations', 'Mask Off')",HUMBLE.,0.0121,0.7469135802469136,15.89177830312582
5,6,"('Mask Off', 'goosebumps')",HUMBLE.,0.011,0.7432432432432432,15.813686026451983
9,10,"('Bounce Back', 'Mask Off')",HUMBLE.,0.0101,0.7426470588235294,15.801001251564456
102,103,Mask Off,XO TOUR Llif3,0.0163,0.5158227848101264,15.63099347909474
14,15,"('XO TOUR Llif3', 'goosebumps')",HUMBLE.,0.0111,0.7302631578947368,15.537513997760358
68,69,Money Longer,Bad and Boujee (feat. Lil Uzi Vert),0.0108,0.5482233502538072,15.530406522770743
12,13,"('Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off')",HUMBLE.,0.011,0.7284768211920529,15.499506833873467
94,95,DNA.,XO TOUR Llif3,0.0118,0.5086206896551725,15.412748171368863
19,20,"('Congratulations', 'goosebumps')",HUMBLE.,0.0112,0.7225806451612903,15.374056280027453
73,74,Swang,XO TOUR Llif3,0.0113,0.506726457399103,15.355347193912213
40,41,"('HUMBLE.', 'XO TOUR Llif3')",Congratulations,0.0128,0.6274509803921569,15.303682448589191
11,12,"('HUMBLE.', 'Mask Off')",Bad and Boujee (feat. Lil Uzi Vert),0.011,0.5392156862745098,15.27523190579348
42,43,"('Congratulations', 'XO TOUR Llif3')",HUMBLE.,0.0128,0.7150837988826816,15.21454891239748
96,97,X (feat. Future),Bad and Boujee (feat. Lil Uzi Vert),0.0109,0.5317073170731708,15.062530228701721
36,37,"('Congratulations', 'HUMBLE.')",iSpy (feat. Lil Yachty),0.0109,0.5093457943925234,15.024949687095084
74,75,You Was Right,Bad and Boujee (feat. Lil Uzi Vert),0.0105,0.5276381909547738,14.947257534129571
90,91,Too Good,One Dance,0.0132,0.6470588235294117,14.943621790517591
21,22,"('Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.')",Congratulations,0.0101,0.6047904191616766,14.750985833211624
32,33,"('Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back')",Broccoli (feat. Lil Yachty),0.01,0.591715976331361,14.71930289381495
38,39,"('Mask Off', 'iSpy (feat. Lil Yachty)')",HUMBLE.,0.0101,0.6870748299319728,14.61861340280793
22,23,"('HUMBLE.', 'Mask Off')",Congratulations,0.0121,0.5931372549019607,14.466762314681967
20,21,"('Bad and Boujee (feat. Lil Uzi Vert)', 'Congratulations')",HUMBLE.,0.0101,0.6778523489932886,14.422390404112523
37,38,"('Congratulations', 'iSpy (feat. Lil Yachty)')",HUMBLE.,0.0109,0.6728395061728395,14.315734173890203
80,81,pick up the phone,Bad and Boujee (feat. Lil Uzi Vert),0.01,0.5025125628140703,14.235483365837686
89,90,Slippery (feat. Gucci Mane),Bad and Boujee (feat. Lil Uzi Vert),0.0121,0.5020746887966805,14.223079002738825
79,80,Mask Off,HUMBLE.,0.0204,0.6455696202531646,13.735523835173714
108,109,Controlla,One Dance,0.0124,0.5849056603773585,13.50821386552791
70,71,Slippery (feat. Gucci Mane),Congratulations,0.0132,0.5477178423236515,13.3589717639915
97,98,XO TOUR Llif3,Congratulations,0.0179,0.5424242424242424,13.229859571322985
95,96,XO TOUR Llif3,HUMBLE.,0.0204,0.6181818181818182,13.152804642166345
52,53,Drowning (feat. Kodak Black),Congratulations,0.0105,0.5384615384615385,13.133208255159476
81,82,Chill Bill,Broccoli (feat. Lil Yachty),0.0121,0.5260869565217391,13.08674021198356
69,70,Slippery (feat. Gucci Mane),HUMBLE.,0.0148,0.6141078838174274,13.06612518760484
57,58,Portland,HUMBLE.,0.0106,0.6127167630057804,13.036526872463412
59,60,Drowning (feat. Kodak Black),HUMBLE.,0.0117,0.6,12.76595744680851
75,76,Chill Bill,Caroline,0.0115,0.5,12.658227848101266
65,66,Mask Off,Congratulations,0.0162,0.5126582278481012,12.503859215807346
55,56,goosebumps,Congratulations,0.0155,0.5032467532467533,12.27431105479886
63,64,Swang,Congratulations,0.0112,0.5022421524663677,12.249808596740676
88,89,Tunnel Vision,HUMBLE.,0.0139,0.5515873015873015,11.735900033772372
67,68,goosebumps,HUMBLE.,0.0167,0.5422077922077921,11.53633600442111
99,100,Bank Account,HUMBLE.,0.0125,0.5411255411255412,11.513309385649814
72,73,Magnolia,HUMBLE.,0.0108,0.54,11.48936170212766
86,87,Congratulations,HUMBLE.,0.0214,0.521951219512195,11.10534509600415
54,55,Butterfly Effect,HUMBLE.,0.0101,0.5206185567010309,11.076990568107039
101,102,Bounce Back,HUMBLE.,0.0156,0.52,11.063829787234043
77,78,Swang,HUMBLE.,0.0113,0.506726457399103,10.78141398721496
104,105,rockstar,HUMBLE.,0.0117,0.5,10.638297872340425
109,110,Starving,Closer,0.0112,0.6120218579234973,8.042337160624143
53,54,Cold Water (feat. Justin Bieber & MØ),Closer,0.0145,0.6016597510373445,7.906172812580085
