,0
Tipsy - Club Mix,0.0111
Marvins Room,0.0116
Stubborn Love,0.0111
Budapest,0.0164
Gold,0.0386
Toes,0.0162
Down,0.0296
Hips Don't Lie,0.0186
Fantasy,0.0137
P.Y.T. (Pretty Young Thing),0.0109
Juke Jam (feat. Justin Bieber & Towkio),0.0154
oui,0.0185
Exchange,0.0172
Come and See Me (feat. Drake),0.0158
Best I Ever Had,0.0157
L$D,0.0103
Up All Night,0.0132
Let Me Love You,0.0403
"Hold On, We're Going Home",0.0163
Earned It (Fifty Shades Of Grey),0.0191
Often,0.0166
Kiss Me,0.0164
Inside Out,0.0153
All We Know,0.0143
Stay,0.0355
Pumped Up Kicks,0.0188
Somebody That I Used To Know,0.0112
Halo,0.02
Radio,0.0104
Can't Feel My Face,0.0226
All My Friends,0.0188
Rivers And Roads,0.0115
Donald Trump,0.0103
Weekend (feat. Miguel),0.0101
Magic,0.0156
"i hate u, i love u (feat. olivia o'brien)",0.0207
You Found Me,0.0108
PILLOWTALK,0.0163
This Could Be Us,0.0161
With You,0.023
Girls,0.01
Want to Want Me,0.0141
Hall of Fame,0.0125
Chocolate,0.0109
Location,0.0326
Talk Dirty (feat. 2 Chainz),0.0121
do re mi,0.0131
Animal,0.0134
1-800-273-8255,0.0264
Swang,0.0223
Take Me To Church,0.0195
Some Kind Of Drug,0.0118
Don't,0.0311
Pursuit Of Happiness (nightmare),0.0145
Wait,0.0116
Say Something,0.0162
Poison,0.0108
Hurricane,0.029
Sugar (feat. Francesco Yates),0.01
How Deep Is Your Love,0.0165
Never Forget You,0.0163
Time,0.0103
Without You,0.0153
Heroes (we could be),0.01
Colors,0.0141
Sorry,0.033
What Do You Mean?,0.022
Time of Our Lives,0.0105
Roses,0.0436
Runaway (U & I),0.0157
Middle,0.0231
Shut Up and Dance,0.0229
Cheap Thrills,0.0214
Daylight,0.0145
Shots,0.0118
Low (feat T-Pain) - Feat T-Pain Album Version,0.0136
We Found Love,0.0143
Marry Me,0.0127
Starships,0.0105
Thinking Out Loud,0.0238
Lucky,0.0118
Best Day Of My Life,0.01
Single Ladies (Put a Ring on It),0.0103
We Can't Stop,0.0139
Ho Hey,0.0173
Jump,0.0119
This Is How We Roll,0.0152
Rather Be (feat. Jess Glynne),0.0183
Classic,0.0123
Summer,0.0207
Problem,0.014
Can't Hold Us - feat. Ray Dalton,0.0186
Timber,0.0159
Sorry Not Sorry,0.0185
Young Dumb & Broke,0.0221
Wild Thoughts,0.0193
The Way Life Goes (feat. Oh Wonder),0.0104
Yellow,0.0135
It's A Vibe,0.0161
Rake It Up,0.0141
Stay - Album Version (Edited),0.0122
Unsteady,0.0141
Stay With Me,0.0205
Lost Boy,0.0128
Fly,0.0147
I'm Not The Only One,0.0125
Lay Me Down,0.0192
Paradise,0.0226
Escape (The Pina Colada Song),0.0107
Summer Of '69,0.0139
Footloose,0.0117
Free Fallin',0.0121
All of Me,0.0241
Stole the Show,0.0147
Sugar,0.0204
Wagon Wheel,0.0247
Cruise,0.0174
It Goes Like This,0.0113
Bottoms Up,0.0106
Barefoot Blue Jean Night,0.0135
Round Here,0.0126
That's My Kind Of Night,0.0151
House Of The Rising Sun,0.013
Dream On,0.016
Piano Man,0.0168
Just the Way You Are,0.015
Don't You (Forget About Me),0.0124
Hotel California - Remastered,0.0186
You Make My Dreams - Remastered,0.0166
Rocket Man (I Think It's Going To Be A Long Long Time),0.0133
Stayin' Alive,0.0116
Heathens,0.0228
Cold Water (feat. Justin Bieber & MØ),0.0241
Ride,0.0429
Backseat Freestyle,0.0136
Someday,0.0162
Feels,0.0168
Fireflies,0.0135
Now Or Never,0.0146
I Don't Dance,0.0154
Bartender,0.0144
Chandelier,0.0164
"Flex (Ooh, Ooh, Ooh)",0.0167
Firestone,0.0118
Trap Queen,0.0298
FourFiveSeconds,0.015
0 To 100 / The Catch Up,0.0163
Clique,0.0147
I Don't Fuck With You,0.0241
Don't Tell 'Em,0.0139
Rise,0.0109
7/11,0.0152
Thunderstruck,0.0138
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",0.0112
POWER,0.0152
In The End,0.0127
Mi Gente,0.0107
Fast Car,0.0234
Better Together,0.0158
Banana Pancakes,0.0123
Landslide,0.0184
XO,0.0175
Promises,0.01
Stitches,0.0174
Stolen Dance,0.0191
Fire,0.0158
Photograph,0.0219
Human,0.0117
Sweater Weather,0.018
Somebody Else,0.0123
Call On Me - Ryan Riback Extended Remix,0.0127
Latch,0.0165
Hero,0.0192
rockstar,0.0234
Candy Paint,0.0104
LOYALTY. FEAT. RIHANNA.,0.0155
Passionfruit,0.0257
HUMBLE.,0.047
Tunnel Vision,0.0252
You Was Right,0.0199
Uber Everywhere,0.0136
Drowning (feat. Kodak Black),0.0195
Smack That - Dirty,0.0114
One,0.0115
Smells Like Teen Spirit,0.0171
She Knows,0.0147
Poetic Justice,0.0118
I Mean It,0.0132
G.O.M.D.,0.016
10 Bands,0.0102
Africa,0.0171
Wake Me up Before You Go-Go,0.0102
Superstition - Single Version,0.0123
Stand By Me,0.0125
Back In Black,0.0108
There's Nothing Holdin' Me Back,0.0139
Don't Let Me Down,0.0322
Sign of the Times,0.0125
Some Nights,0.0122
Carry On,0.0124
Lose Yourself - Soundtrack Version,0.0196
When I Was Your Man,0.0118
I Will Wait,0.0126
Pompeii,0.019
Geronimo,0.0101
Let Her Go,0.0234
Viva La Vida,0.0142
Safe And Sound,0.0135
Take Your Time,0.0164
Feel It Still,0.0145
Tongue Tied,0.0148
Dog Days Are Over,0.0122
Tiimmy Turner,0.0106
Everybody,0.0131
Ultralight Beam,0.0105
Panda,0.032
Broccoli (feat. Lil Yachty),0.0402
Faded,0.0194
Run,0.0107
No Problem (feat. Lil Wayne & 2 Chainz),0.0323
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix",0.0108
Bad and Boujee (feat. Lil Uzi Vert),0.0353
Down In the DM,0.0104
I Know,0.0121
All We Got (feat. Kanye West & Chicago Children's Choir),0.0104
6 Foot 7 Foot,0.0141
My Nigga,0.0103
Mask Off,0.0316
Buy U a Drank (Shawty Snappin'),0.0167
Both (feat. Drake),0.0149
First Day Out,0.012
Good Life,0.0149
Slippery (feat. Gucci Mane),0.0241
Butterfly Effect,0.0194
Sunday Morning,0.0168
Up,0.0114
Collard Greens,0.0105
Portland,0.0173
DNA.,0.0232
I Get The Bag (feat. Migos),0.011
Neighbors,0.0114
Antidote,0.0264
DEVASTATED,0.0123
Numb,0.0187
Cigarette Daydreams,0.0129
Here,0.0147
Stressed Out,0.0228
Ophelia,0.0187
In Da Club,0.0174
"Me, Myself & I",0.0247
Party,0.0119
Loyal,0.0112
A Thousand Years,0.0153
I Took A Pill In Ibiza - Seeb Remix,0.0225
Baba O'Riley,0.0101
Don't You Worry Child (Radio Edit) [feat. John Martin],0.0109
H.O.L.Y.,0.0159
Fancy,0.0183
Walk This Way,0.0134
Wannabe - Radio Edit,0.0141
I Wanna Dance with Somebody (Who Loves Me),0.0138
Secrets,0.0182
A Sky Full of Stars,0.0146
"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.0109
Look At Me!,0.0124
I Won't Give Up,0.0161
Sail,0.0189
Royals,0.0153
Titanium (feat. Sia) - feat. Sia,0.0142
The Show Goes On,0.0115
Bodak Yellow,0.0189
Go Flex,0.0174
Come Get Her,0.0173
Headlines,0.012
How To Love,0.01
Throw Sum Mo,0.0104
These Days,0.0119
Angels (feat. Saba),0.0101
Partition,0.0143
Take On Me,0.0141
I Want It That Way,0.0133
Drop It Like It's Hot,0.0155
SexyBack,0.0142
Danza Kuduro,0.0125
Rich Girl,0.0164
No Diggity,0.0208
Cheerleader - Felix Jaehn Remix Radio Edit,0.0192
Breathe,0.0155
Chill Bill,0.023
Crank That (Soulja Boy),0.0129
Party Monster,0.0118
I Don't Mind,0.011
Candy Shop,0.0121
Whatever You Like,0.0129
TiK ToK,0.0121
Breakeven,0.0111
Someone Like You,0.0141
Everything,0.0105
Rack City,0.0112
Work,0.0271
Money Longer,0.0197
"Bitch, Don’t Kill My Vibe",0.0148
Pop Style,0.019
Honey Bee,0.01
Dirt Road Anthem,0.0125
Drunk On You,0.0112
Country Girl (Shake It For Me),0.0121
Come a Little Closer,0.0107
Wanted,0.0108
Stay A Little Longer,0.0105
American Kids,0.0124
House Party,0.0188
Homegrown,0.0125
Break Up In A Small Town,0.0151
Leave The Night On,0.0148
Break Up with Him,0.0105
Make You Miss Me,0.0127
From the Ground Up,0.0102
May We All,0.0107
Crash And Burn,0.0138
Snapback,0.0111
I'm Comin' Over,0.0104
Somewhere On A Beach,0.0113
I Like The Sound Of That,0.0108
Make Me Wanna,0.0106
Play It Again,0.0197
Move,0.0128
Knee Deep (feat. Jimmy Buffett),0.0163
Drunk On A Plane,0.0133
Craving You,0.0101
Sleepyhead,0.0101
You,0.0248
Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.0111
iSpy (feat. Lil Yachty),0.0339
Hotline Bling,0.0277
Jordan Belfort,0.0148
Always,0.0132
The Hills,0.028
679 (feat. Remy Boyz),0.0246
The Fix (feat. Jeremih),0.0103
Cut It (feat. Young Dolph),0.0105
Best Friend,0.0138
Controlla,0.0212
Promise,0.018
For Free,0.0138
Still Here,0.0104
Wicked,0.0122
Wake Up,0.0215
Needed Me,0.0242
Work from Home,0.0222
24K Magic,0.0168
Blasé (feat. Future & Rae Sremmurd),0.0102
Get Me Some Of That,0.0101
Head Over Boots,0.0114
So Sick,0.0108
Same Old Love,0.0102
My House,0.021
Talking Body,0.0134
Locked Out Of Heaven,0.0102
Treasure,0.0114
Fight Night,0.0125
Team,0.0112
Believe,0.022
Little Talks,0.0164
My Love,0.0102
R.I.C.O. (feat. Drake),0.0119
Wyclef Jean,0.0117
All Me,0.0123
Still D.R.E.,0.0112
A Milli,0.0131
Only,0.0166
Love Yourself,0.0222
Cherry Wine - Live,0.0105
The Cave,0.0108
One Time,0.0101
Gasoline,0.0114
Hide Away,0.0122
Alive,0.0233
YOUTH,0.0109
Side To Side,0.0162
The Joker,0.0115
Bad Moon Rising,0.0117
What's My Age Again?,0.0106
Rollin,0.0144
This Is What You Came For,0.0215
Gas Pedal,0.0124
Am I Wrong,0.014
Gyalchester,0.012
Get Right Witcha,0.0114
ELEMENT.,0.0103
Look Alive,0.0117
OOOUUU,0.0139
Erase Your Social,0.0116
Change,0.0115
Winter Wonderland,0.0124
O Holy Night,0.0131
White Christmas,0.0157
All I Want for Christmas Is You,0.0103
The Christmas Song,0.0103
Sleigh Ride,0.0143
Have Yourself A Merry Little Christmas,0.0159
Silent Night,0.0214
Santa Baby,0.0103
"You're Gonna Go Far, Kid",0.0106
Mr. Jones,0.0115
Iris,0.0146
Drive,0.0242
Come As You Are,0.0117
Under The Bridge,0.0162
All Star,0.0168
What I Got,0.0133
Bang Bang,0.0187
Fever,0.0103
Work Song,0.0117
HeadBand (feat. 2 Chainz),0.0161
The Scientist,0.0158
You And Me,0.0113
Lollipop,0.0109
Take It Easy,0.0108
I Need Your Love,0.01
Started From the Bottom,0.015
Work Out,0.0147
Electric Feel,0.0153
River,0.0157
The Middle,0.015
Cough Syrup,0.0109
Take a Walk,0.0124
Feeling Myself,0.013
Again,0.0214
Drunk in Love,0.0135
Don't Stop The Music,0.01
Heartbeat,0.0176
Call Me Maybe,0.0112
On My Mind,0.0108
Slow Motion,0.0189
Once In a While,0.0109
Rolex,0.0161
Free,0.0143
Good For You,0.0125
Show Me,0.0148
Love Me,0.0184
Gold Digger,0.0291
Hot In Herre,0.0136
Blurred Lines,0.0129
The A Team,0.0133
Apologize,0.0132
Thrift Shop (feat. Wanz),0.013
Love The Way You Lie,0.0129
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],0.0122
Cake By The Ocean,0.0172
Get Low - Street,0.0173
GDFR (feat. Sage The Gemini & Lookas),0.0143
Rude,0.0103
Mirrors,0.0107
Like A G6,0.0106
Have You Ever Seen The Rain?,0.0153
Ain't No Rest for the Wicked - Original Version,0.0114
"Hey, Soul Sister",0.0166
I'm Yours,0.0248
Sunshine,0.0127
Here Comes The Sun - Remastered,0.0107
Roar,0.0118
Not Afraid,0.0106
Wake Me Up - Radio Edit,0.0171
Rolling in the Deep,0.0105
Super Bass,0.0111
Gives You Hell,0.0105
Clarity,0.0126
Little Lion Man,0.0108
Payphone,0.01
She Will Be Loved - Radio Mix,0.019
Tear In My Heart,0.0127
Tennessee Whiskey,0.0116
Birthday Sex,0.0102
Pony,0.0161
Thunder,0.0194
Float On,0.0103
Kiss Me Thru The Phone,0.0136
Post To Be (feat. Chris Brown & Jhene Aiko),0.0131
Ayo,0.0103
Right Hand,0.0126
Coming Home,0.0137
Temperature,0.0114
2 Phones,0.0151
Truffle Butter,0.0123
Big Rings,0.0131
IV. sweatpants,0.0184
Bitch Better Have My Money,0.0147
All Of The Lights,0.0112
Black Skinhead,0.0113
"One, Two Step",0.0105
Look At Me Now,0.0139
No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,0.0194
Suga Suga,0.012
Fix You,0.0137
Hey There Delilah,0.019
Where Ya At,0.0135
Don't Mind,0.0129
Childs Play,0.0119
The Motto,0.0155
We Dem Boyz,0.0101
Send My Love (To Your New Lover),0.0113
Maps,0.0156
Please Don't Go,0.0126
Holy Grail,0.0105
Beautiful,0.0202
Outside,0.0105
The Ocean,0.015
Diamonds,0.0115
Easy,0.0125
"Sugar, We're Goin Down",0.0129
Say It Ain't So,0.0103
Any Way You Want It,0.0104
We Don't Talk Anymore (feat. Selena Gomez),0.0102
Creep,0.0171
Hollaback Girl,0.0151
7 Years,0.0197
Go Your Own Way - 2004 Remastered Edition,0.0114
Welcome To The Jungle,0.0147
Wish You Were Here,0.0113
Tiny Dancer,0.013
Silence,0.0144
Blue Christmas,0.0103
Back To Back,0.0167
2U (feat. Justin Bieber),0.0117
Idfc,0.0124
Heartless,0.013
Death Of A Bachelor,0.0101
You Give Love A Bad Name,0.0113
Blame,0.0104
No Money,0.0117
Take Care,0.0108
Too Close,0.0116
I'll Be Home For Christmas,0.0111
Love Song,0.0104
My Songs Know What You Did In The Dark (Light Em Up),0.0109
Paradise City,0.0123
The Real Slim Shady,0.0102
Santa Claus Is Coming To Town,0.0105
Hands To Myself,0.0133
Dangerous Woman,0.0109
Renegades,0.0129
Hymn For The Weekend - Seeb Remix,0.0104
Close,0.014
Complicated,0.011
Waves - Robin Schulz Radio Edit,0.01
Young And Beautiful,0.0122
My Type,0.0101
My Shit,0.0109
Light It Up (feat. Nyla & Fuse ODG) - Remix,0.0154
Young,0.01
Beat It - Single Version,0.0102
Another One Bites The Dust - Remastered 2011,0.0142
Since U Been Gone,0.0119
Burn,0.014
Wrecking Ball,0.0103
Centuries,0.0149
Dark Horse,0.0132
Drops of Jupiter,0.0167
Ms. Jackson,0.0151
Walking On A Dream,0.0123
Habits (Stay High) - Hippie Sabotage Remix,0.0106
Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),0.0114
The Monster,0.0108
Highway to Hell,0.0114
American Pie,0.0131
California Love - Original Version,0.011
Dilemma,0.0108
Californication,0.0148
Shake It Off,0.0116
Turn Down for What,0.0131
Under Pressure - Remastered 2011,0.0128
My Way (feat. Monty),0.0124
Power Trip,0.0117
Umbrella,0.0144
The Greatest,0.0132
Paint It Black,0.012
Simple Man,0.011
Animals,0.0132
Surrender,0.01
Everlong,0.0101
"('goosebumps', 'pick up the phone')",0.0103
"('Closer', 'Starving')",0.0112
"('Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)')",0.0121
"('Despacito - Remix', ""I'm the One"")",0.012
"('Jumpman', 'One Dance')",0.01
"('Bounce Back', 'XO TOUR Llif3')",0.0117
"('Caroline', 'Congratulations')",0.0116
"('Fake Love', 'iSpy (feat. Lil Yachty)')",0.0114
"('Black Beatles', 'Broccoli (feat. Lil Yachty)')",0.0138
"('Controlla', 'One Dance')",0.0124
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Chill Bill')",0.0104
"('Money Longer', 'You Was Right')",0.0117
"('Chicken Fried', 'Knee Deep (feat. Jimmy Buffett)')",0.0107
"('679 (feat. Remy Boyz)', 'Trap Queen')",0.0122
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off')",0.0151
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Fake Love')",0.0138
"('Closer', 'Shape of You')",0.0111
"('Broccoli (feat. Lil Yachty)', 'HUMBLE.')",0.013
"('HUMBLE.', 'rockstar')",0.0117
"('Tunnel Vision', 'XO TOUR Llif3')",0.0136
"('Mask Off', 'XO TOUR Llif3')",0.0163
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Swang')",0.0103
"('Broccoli (feat. Lil Yachty)', 'Panda')",0.0132
"('Bounce Back', 'HUMBLE.')",0.0156
"('Fake Love', 'No Problem (feat. Lil Wayne & 2 Chainz)')",0.0102
"('Bad and Boujee (feat. Lil Uzi Vert)', 'iSpy (feat. Lil Yachty)')",0.0152
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back')",0.0169
"('Bank Account', 'HUMBLE.')",0.0125
"('Drowning (feat. Kodak Black)', 'goosebumps')",0.01
"('T-Shirt', 'goosebumps')",0.0118
"('Congratulations', 'XO TOUR Llif3')",0.0179
"('Bad and Boujee (feat. Lil Uzi Vert)', 'X (feat. Future)')",0.0109
"('Congratulations', ""I'm the One"")",0.0117
"('HUMBLE.', 'XO TOUR Llif3')",0.0204
"('Broccoli (feat. Lil Yachty)', 'Fake Love')",0.011
"('Fake Love', 'Mask Off')",0.01
"('Closer', 'Let Me Love You')",0.0159
"('DNA.', 'XO TOUR Llif3')",0.0118
"('HUMBLE.', ""I'm the One"")",0.0139
"('Jumpman', 'Panda')",0.0113
"('Mask Off', 'Tunnel Vision')",0.0127
"('Caroline', 'HUMBLE.')",0.013
"('No Heart', 'X (feat. Future)')",0.0103
"('Closer', 'This Is What You Came For')",0.0104
"('Bounce Back', 'Fake Love')",0.012
"('One Dance', 'Too Good')",0.0132
"('One Dance', 'Work')",0.0103
"('Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)')",0.0117
"('Congratulations', 'Tunnel Vision')",0.012
"('Swang', 'goosebumps')",0.0106
"('Bounce Back', 'iSpy (feat. Lil Yachty)')",0.0134
"('Cold Water (feat. Justin Bieber & MØ)', 'Let Me Love You')",0.0115
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)')",0.0121
"('Bad and Boujee (feat. Lil Uzi Vert)', 'goosebumps')",0.0133
"('Closer', ""Don't Let Me Down"")",0.0149
"('HUMBLE.', 'Tunnel Vision')",0.0139
"('Sorry', 'What Do You Mean?')",0.0128
"('Congratulations', 'HUMBLE.')",0.0214
"('XO TOUR Llif3', 'iSpy (feat. Lil Yachty)')",0.0118
"('Love Yourself', 'Sorry')",0.0117
"('Closer', 'Ride')",0.0118
"('goosebumps', 'rockstar')",0.0105
"(""I'm the One"", 'XO TOUR Llif3')",0.0104
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Caroline')",0.0153
"('Caroline', 'Fake Love')",0.0135
"('HUMBLE.', 'No Problem (feat. Lil Wayne & 2 Chainz)')",0.0119
"('DNA.', 'HUMBLE.')",0.019
"('Bad and Boujee (feat. Lil Uzi Vert)', 'T-Shirt')",0.0127
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)')",0.0155
"('Congratulations', 'rockstar')",0.0112
"('One Dance', 'Panda')",0.0128
"('Black Beatles', 'HUMBLE.')",0.01
"('Broccoli (feat. Lil Yachty)', 'No Problem (feat. Lil Wayne & 2 Chainz)')",0.0158
"('Caroline', 'iSpy (feat. Lil Yachty)')",0.0134
"('Bank Account', 'Magnolia')",0.0113
"('Slippery (feat. Gucci Mane)', 'XO TOUR Llif3')",0.0132
"('Tunnel Vision', 'iSpy (feat. Lil Yachty)')",0.0115
